MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,Chroma_STFT,Age,Gender
-366.55695,96.14337,-2.866914,31.80691,2.2421713,8.424315,-7.6753583,-9.536948,-13.399293,-1.5965111,1.6084505,-2.7940714,-3.681298,-0.5361642,-6.6510997,-2.3162162,2.0240977,-4.1875577,-1.3515731,0.64988345,0.05175748,3222.753216098627,3281.3398714235727,6107.317573502219,0.08257731601331361,0.3836486,14,0
-454.59766,144.38069,7.7406135,56.81856,22.238607,6.537725,20.596169,-18.960901,-17.134222,-3.7456927,-7.0286593,-3.480777,-8.009133,1.0221031,3.5422723,-8.133476,-2.108638,2.3819783,-4.519656,-7.055279,0.024117582,1448.937195490714,1778.02836895405,2865.9156976744184,0.03533269510286225,0.42377076,14,1
-431.79056,164.32738,-12.63498,20.614021,25.2947,-2.0995405,12.555015,5.023346,-3.4131508,-1.8789413,-10.183107,-7.076048,-3.671795,-8.9229765,-9.350117,-5.3486342,-1.645715,-2.8056214,-4.164583,-3.4043195,0.03774907,1374.2406456442777,1489.2436668907426,2596.201217156105,0.031111892629443586,0.38234454,16,0
-415.87134,136.41692,4.20256,11.670148,3.5290956,-9.577717,6.84332,-6.439352,-20.53838,-12.95316,-5.3637657,-5.3699894,-10.377372,-5.2934027,-3.8552642,-12.204639,-7.416758,-2.6344864,-5.5878854,-3.11822,0.056115143,1604.7957039719001,1554.3210548252432,2778.9503528225805,0.049769247731854836,0.42319077,16,1
-447.3146,89.844025,15.623257,9.609632,5.284478,6.3732815,-13.552106,-4.342308,-6.574659,-7.0625787,1.2148314,-4.186775,-7.1365795,4.5899644,-5.450065,-2.4074574,-2.338058,-5.081201,-1.7079054,-1.3680446,0.029798262,4456.360987380155,4412.529031821099,8337.175626376653,0.1087067501835536,0.3826682,17,0
-339.30322,181.06464,2.4485526,6.0411105,13.134788,1.1476872,11.510131,0.6641327,-2.5149777,-0.023333296,-10.920495,-5.6049037,-3.9426925,-10.928323,0.22382356,0.032823566,-11.859727,-1.1571497,3.8794525,-8.499847,0.09506679,1240.7924393341077,1265.0651027665708,2213.856064920273,0.03346450562357631,0.45888996,17,1
-484.06763,129.48167,9.4739275,23.243822,23.223612,-7.154191,-7.4777617,-10.36375,-8.894673,-0.764804,-12.650293,-14.305826,0.38670903,-3.3646126,-11.497676,-5.981114,-3.352488,-5.471605,-6.356858,-7.15559,0.026190883,1568.8200769855155,1546.3348201213796,2927.6116071428573,0.045049525669642855,0.4401856,18,0
-347.99026,119.99654,-18.127186,13.867529,-1.0389222,-8.176768,5.066478,-13.144296,-5.8394055,-8.146798,-15.821545,-2.751184,-7.7709227,-8.896674,-0.9269165,-6.1049347,-4.980285,1.3315258,-4.541851,-9.413971,0.06848031,2354.407945915996,1939.000140750979,4257.828844142259,0.07696865193514645,0.4672666,18,1
-352.72723,196.45175,15.352299,1.6022059,21.478043,12.101001,7.62571,-4.8599796,-7.438981,3.4608517,0.298666,-6.8606024,-3.172214,3.45772,1.6954935,-4.40167,-2.0477664,1.8436626,-1.6985322,-4.4823327,0.07078615,852.7439328782386,1093.257073374506,1634.406887755102,0.020279864875637755,0.4460011,19,0
-373.5084,148.9079,-6.883033,35.863216,26.899971,-2.660961,11.602675,-5.8537083,-2.6609163,8.392257,-14.03087,-10.672868,-0.4237824,-9.172015,-3.8104987,-2.1536946,-6.893723,0.7526462,-1.8857903,-6.2900534,0.051047996,1710.9530374147364,1839.782495302003,3475.78125,0.047637101715686275,0.51502544,19,1
